Index,Red,Green,Blue,Apha
0,0,0,0,0
1,1,1,1,0.00390625
2,2,2,2,0.0078125
3,3,3,3,0.01171875
4,4,4,4,0.015625
5,5,5,5,0.01953125
6,6,6,6,0.0234375
7,7,7,7,0.02734375
8,8,8,8,0.03125
9,9,9,9,0.03515625
10,10,10,10,0.0390625
11,11,11,11,0.04296875
12,12,12,12,0.046875
13,13,13,13,0.05078125
14,14,14,14,0.0546875
15,15,15,15,0.05859375
16,16,16,16,0.0625
17,17,17,17,0.06640625
18,18,18,18,0.0703125
19,19,19,19,0.07421875
20,20,20,20,0.078125
21,21,21,21,0.08203125
22,22,22,22,0.0859375
23,23,23,23,0.08984375
24,24,24,24,0.09375
25,25,25,25,0.09765625
26,26,26,26,0.1015625
27,27,27,27,0.10546875
28,28,28,28,0.109375
29,29,29,29,0.11328125
30,30,30,30,0.1171875
31,31,31,31,0.12109375
32,32,32,32,0.125
33,33,33,33,0.12890625
34,34,34,34,0.1328125
35,35,35,35,0.13671875
36,36,36,36,0.140625
37,37,37,37,0.14453125
38,38,38,38,0.1484375
39,39,39,39,0.15234375
40,40,40,40,0.15625
41,41,41,41,0.16015625
42,42,42,42,0.1640625
43,43,43,43,0.16796875
44,44,44,44,0.171875
45,45,45,45,0.17578125
46,46,46,46,0.1796875
47,47,47,47,0.18359375
48,48,48,48,0.1875
49,49,49,49,0.19140625
50,50,50,50,0.1953125
51,51,51,51,0.19921875
52,52,52,52,0.203125
53,53,53,53,0.20703125
54,54,54,54,0.2109375
55,55,55,55,0.21484375
56,56,56,56,0.21875
57,57,57,57,0.22265625
58,58,58,58,0.2265625
59,59,59,59,0.23046875
60,60,60,60,0.234375
61,61,61,61,0.23828125
62,62,62,62,0.2421875
63,63,63,63,0.24609375
64,64,64,64,0.25
65,65,65,65,0.25390625
66,66,66,66,0.2578125
67,67,67,67,0.26171875
68,68,68,68,0.265625
69,69,69,69,0.26953125
70,70,70,70,0.2734375
71,71,71,71,0.27734375
72,72,72,72,0.28125
73,73,73,73,0.28515625
74,74,74,74,0.2890625
75,75,75,75,0.29296875
76,76,76,76,0.296875
77,77,77,77,0.30078125
78,78,78,78,0.3046875
79,79,79,79,0.30859375
80,80,80,80,0.3125
81,81,81,81,0.31640625
82,82,82,82,0.3203125
83,83,83,83,0.32421875
84,84,84,84,0.328125
85,85,85,85,0.33203125
86,86,86,86,0.3359375
87,87,87,87,0.33984375
88,88,88,88,0.34375
89,89,89,89,0.34765625
90,90,90,90,0.3515625
91,91,91,91,0.35546875
92,92,92,92,0.359375
93,93,93,93,0.36328125
94,94,94,94,0.3671875
95,95,95,95,0.37109375
96,96,96,96,0.375
97,97,97,97,0.37890625
98,98,98,98,0.3828125
99,99,99,99,0.38671875
100,100,100,100,0.390625
101,101,101,101,0.39453125
102,102,102,102,0.3984375
103,103,103,103,0.40234375
104,104,104,104,0.40625
105,105,105,105,0.41015625
106,106,106,106,0.4140625
107,107,107,107,0.41796875
108,108,108,108,0.421875
109,109,109,109,0.42578125
110,110,110,110,0.4296875
111,111,111,111,0.43359375
112,112,112,112,0.4375
